source,target,source_type,target_type,edge_type,regulatory_type,weight,mi_value,mi,pearson_r,pearson_p,pearson_p_fdr,miRDB_score,comparison
hsa-let-7f,hsa-miR-340,miRNA,miRNA,miRNA-miRNA,,0.8049239118339049,,,0.8049239118339049,2.7979911432732984e-08,1.332455948728842e-07,,
hsa-let-7f,hsa-miR-107,miRNA,miRNA,miRNA-miRNA,,0.8044634249107735,,,0.8044634249107735,2.889148398440658e-08,1.3661203466062378e-07,,
hsa-let-7f,hsa-miR-15a,miRNA,miRNA,miRNA-miRNA,,0.8010113589029326,,,0.8010113589029326,3.664368776712202e-08,1.6791529691913466e-07,,
hsa-let-7f,hsa-miR-216a,miRNA,miRNA,miRNA-miRNA,,0.7919094607084968,,,0.7919094607084968,6.712200741225339e-08,2.809024448130354e-07,,
hsa-let-7f,hsa-miR-548g,miRNA,miRNA,miRNA-miRNA,,0.7917940826537705,,,0.7917940826537705,6.762603395780515e-08,2.8257462661749186e-07,,
hsa-let-7f,hsa-miR-106a+hsa-miR-17,miRNA,miRNA,miRNA-miRNA,,0.7900216703856342,,,0.7900216703856342,7.581785018790152e-08,3.120765570426985e-07,,
hsa-let-7f,hsa-miR-154,miRNA,miRNA,miRNA-miRNA,,0.7873389437673055,,,0.7873389437673055,8.99588272837768e-08,3.6319062829790934e-07,,
hsa-let-7f,hsa-miR-130b,miRNA,miRNA,miRNA-miRNA,,0.7863799239203884,,,0.7863799239203884,9.557384830985597e-08,3.8086891789151555e-07,,
hsa-let-7f,hsa-miR-128,miRNA,miRNA,miRNA-miRNA,,0.7768614858359089,,,0.7768614858359089,1.7151989371919685e-07,6.255723166124848e-07,,
hsa-let-7f,hsa-miR-200b,miRNA,miRNA,miRNA-miRNA,,0.7730573473247255,,,0.7730573473247255,2.1498365024537442e-07,7.526306986300039e-07,,
hsa-let-7f,hsa-miR-25,miRNA,miRNA,miRNA-miRNA,,0.7723335233439735,,,0.7723335233439735,2.243147298956985e-07,7.805217143633991e-07,,
hsa-let-7f,hsa-miR-10b,miRNA,miRNA,miRNA-miRNA,,0.7700724115391258,,,0.7700724115391258,2.5590139843496793e-07,8.667188487963585e-07,,
hsa-let-7f,hsa-miR-708,miRNA,miRNA,miRNA-miRNA,,0.7692457023079152,,,0.7692457023079152,2.6843040639254616e-07,9.034149391614684e-07,,
hsa-let-7f,hsa-miR-106b,miRNA,miRNA,miRNA-miRNA,,0.7545203289212716,,,0.7545203289212716,6.094594483760489e-07,1.8477555569614502e-06,,
hsa-let-7f,hsa-miR-1308,miRNA,miRNA,miRNA-miRNA,,0.7539673044367965,,,0.7539673044367965,6.278231523120508e-07,1.8976843207620858e-06,,
hsa-let-7f,hsa-miR-454,miRNA,miRNA,miRNA-miRNA,,0.7513899409844006,,,0.7513899409844006,7.202523490041751e-07,2.1510892302473685e-06,,
hsa-let-7f,hsa-miR-660,miRNA,miRNA,miRNA-miRNA,,0.7472356469368047,,,0.7472356469368047,8.956476710742561e-07,2.606881484485753e-06,,
hsa-let-7f,hsa-miR-16 (+++ See note below),miRNA,miRNA,miRNA-miRNA,,0.7445420516670519,,,0.7445420516670519,1.0293197825383132e-06,2.9414734296788243e-06,,
hsa-let-7f,hsa-miR-2117,miRNA,miRNA,miRNA-miRNA,,0.7310063941486158,,,0.7310063941486158,2.019739656795698e-06,5.311265479623618e-06,,
hsa-let-7f,hsa-miR-145,miRNA,miRNA,miRNA-miRNA,,0.7293198094005211,,,0.7293198094005211,2.1905901825033853e-06,5.7155137986488976e-06,,
hsa-let-7f,hsa-miR-9,miRNA,miRNA,miRNA-miRNA,,0.7235592748231551,,,0.7235592748231551,2.8779888272779653e-06,7.2356216279022294e-06,,
hsa-let-7f,hsa-miR-142-5p,miRNA,miRNA,miRNA-miRNA,,0.7206971362921653,,,0.7206971362921653,3.2877673189055535e-06,8.113067228722577e-06,,
hsa-let-7f,hsa-miR-135b,miRNA,miRNA,miRNA-miRNA,,0.719603187589276,,,0.719603187589276,3.4579020996080986e-06,8.439304027379911e-06,,
hsa-let-7f,hsa-miR-425,miRNA,miRNA,miRNA-miRNA,,0.719534477621273,,,0.719534477621273,3.4688503304038322e-06,8.460868193220067e-06,,
hsa-let-7f,hsa-miR-127-3p,miRNA,miRNA,miRNA-miRNA,,0.7171519797208286,,,0.7171519797208286,3.868514401010659e-06,9.310937605797891e-06,,
hsa-let-7f,hsa-miR-125b,miRNA,miRNA,miRNA-miRNA,,0.7158305914203749,,,0.7158305914203749,4.107775975009566e-06,9.804316316992439e-06,,
