number,value,params_dropout,params_hidden_size,params_learning_rate,params_num_heads,params_num_layers,params_weight_decay,user_attrs_fold_scores,user_attrs_mean_best_epoch,user_attrs_std_val_macro_f1,state
21,0.9382767072098791,0.17403332006375744,32,0.00036871381480232837,2,1,0.002777112513986465,"[0.9334806281069992, 0.934730663342164, 0.946618830180474]",25.333333333333332,0.005920805618871138,COMPLETE
28,0.9382120223085254,0.19716921990232428,32,0.00018832918285128592,1,2,0.0003130930238483886,"[0.9171331074777828, 0.934730663342164, 0.9627722961056294]",56.333333333333336,0.018794037704221347,COMPLETE
5,0.9381615586388952,0.07896726488128243,64,0.0035033984911586884,2,1,0.0038842777547031426,"[0.9334806281069992, 0.9182317517040567, 0.9627722961056294]",6.0,0.01848239444950148,COMPLETE
20,0.9376734002757012,0.05484321077858677,128,0.0006831924796578076,2,1,6.220370619702141e-05,"[0.9155172413793103, 0.934730663342164, 0.9627722961056294]",13.0,0.019403690796544453,COMPLETE
12,0.9374578551418215,0.07655214711568999,64,0.000116743679195356,2,1,0.0002018172363821237,"[0.9007507507507508, 0.9650039844942394, 0.946618830180474]",55.666666666666664,0.0270192784182943,COMPLETE
9,0.9353186930368548,0.1308007330051888,16,0.00432543242796456,8,3,0.0003600575029200903,"[0.9228173816985459, 0.920366401306389, 0.9627722961056294]",24.0,0.01943839957942455,COMPLETE
35,0.9342793602659284,0.08160491265645688,64,0.00047196169114792135,4,2,0.00020086610248090596,"[0.9334806281069992, 0.9065851565851566, 0.9627722961056294]",23.666666666666668,0.02294525574302962,COMPLETE
22,0.9333966910775944,0.27254567223295706,32,0.0003790059541642466,4,2,1.267284441462309e-05,"[0.918840579710145, 0.934730663342164, 0.946618830180474]",42.666666666666664,0.011379584389014808,COMPLETE
24,0.9327512367328481,0.19383959280603769,128,0.00011864516290657206,2,1,0.0014755673592973875,"[0.9007507507507508, 0.934730663342164, 0.9627722961056294]",69.33333333333333,0.025358846179431037,COMPLETE
7,0.9319977246000256,0.23888778463576216,64,0.0001124186209579306,2,2,4.857295179217165e-05,"[0.8984902143522833, 0.934730663342164, 0.9627722961056294]",83.0,0.026314105523618323,COMPLETE
29,0.9307923476983189,0.24090403878344777,16,0.0010658534890548752,1,2,3.994259675143151e-05,"[0.9171331074777828, 0.9495863940176031, 0.9256575415995706]",24.0,0.013737506495302759,COMPLETE
49,0.9283391808187572,0.17792168502225297,32,0.00010198854542674477,1,1,0.004819128011396681,"[0.9334806281069992, 0.9164899793023373, 0.9350469350469351]",72.66666666666667,0.008403015799503904,COMPLETE
40,0.9279930179658455,0.12319600890657184,16,0.00010511656652526304,2,1,0.006071699616193662,"[0.9047167784895697, 0.9164899793023373, 0.9627722961056294]",59.333333333333336,0.025057942257732425,COMPLETE
27,0.9232113361514637,0.16288758225994135,32,0.0001073887681636037,2,3,0.0013628497579846553,"[0.8864953110423724, 0.920366401306389, 0.9627722961056294]",68.33333333333333,0.031204859165303314,COMPLETE
4,0.9175996992808412,0.18567402078956213,128,0.00015030900645056822,2,3,2.6471141828218167e-05,"[0.8835960344365614, 0.9064307673003326, 0.9627722961056294]",54.666666666666664,0.033274403417252546,COMPLETE
3,0.9160133183563136,0.24378320584027863,16,0.00011715937392307068,8,3,0.006584106160121612,"[0.9007507507507508, 0.8845169082125603, 0.9627722961056294]",64.33333333333333,0.03372126837283808,COMPLETE
