source,target,source_type,target_type,edge_type,regulatory_type,weight,pearson_r,pearson_p,pearson_p_fdr,fdr_significant,miRDB_validated
hsa-miR-148a,hsa-miR-374a,miRNA,miRNA,miRNA-miRNA,coexpression,0.9068606065408121,0.9068606065408121,8.732115401786889e-13,2.6696276476455336e-11,False,False
hsa-miR-150,WFDC2,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.3033285968442766,-0.3033285968442766,0.09147995650795558,0.9988699114074102,False,False
hsa-miR-150,PTHLH,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.28830370916294346,-0.28830370916294346,0.1095555613668168,0.9988699114074102,False,False
hsa-miR-151-3p,hsa-miR-199a-5p,miRNA,miRNA,miRNA-miRNA,coexpression,0.913660628020961,0.913660628020961,2.933827571584579e-13,1.1519587670780627e-11,False,False
hsa-miR-151-3p,hsa-miR-186,miRNA,miRNA,miRNA-miRNA,coexpression,0.910698750500906,0.910698750500906,4.768491765687208e-13,1.6906517313677107e-11,False,False
hsa-miR-151-3p,PLAT,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.3713731199083724,-0.3713731199083724,0.03637389825280076,0.9988699114074102,False,False
hsa-miR-154,PLAT,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.36403774253967597,-0.36403774253967597,0.040534629174573816,0.9988699114074102,False,False
hsa-miR-154,PTHLH,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.3619156159603005,-0.3619156159603005,0.04180717624970076,0.9988699114074102,False,False
hsa-miR-155,PTHLH,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.3560727685079884,-0.3560727685079884,0.045477270470288066,0.9988699114074102,False,False
hsa-miR-183,L1CAM,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.3385268061601953,-0.3385268061601953,0.05806670386122184,0.9988699114074102,False,False
hsa-miR-183,DLC1,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.2932300403432115,-0.2932300403432115,0.10335629663640541,0.9988699114074102,False,False
hsa-miR-186,hsa-miR-195,miRNA,miRNA,miRNA-miRNA,coexpression,0.9210563836394156,0.9210563836394156,8.052603183136462e-14,4.031334468557691e-12,False,False
hsa-miR-186,hsa-miR-374b,miRNA,miRNA,miRNA-miRNA,coexpression,0.9126859421950142,0.9126859421950142,3.448854083070484e-13,1.328140442567047e-11,False,False
